Brønnbane;Dokument type;Dokument navn;Dokument URL;Dokument format;Dokumentstørrelse [MB];NPDID for brønnbanen;Dato oppdatert;Dato synkronisert Sodir
1/2-1;GEOCHEMICAL INFORMATION;1382_1;https://factpages.sodir.no/pbl/geochemical_pdfs/1382_1.pdf;pdf;174;1382;02.01.2024;05.10.2025
1/2-1;GEOCHEMICAL INFORMATION;1382_2;https://factpages.sodir.no/pbl/geochemical_pdfs/1382_2.pdf;pdf;3408;1382;02.01.2024;05.10.2025
1/2-1;OLD NPD WDSS;1382_01_WDSS_General_Information;https://factpages.sodir.no/pbl/wdss_old/1382_01_WDSS_General_Information.pdf;pdf;258;1382;02.01.2024;05.10.2025
1/2-1;OLD NPD WDSS;1382_02_WDSS_completion_log;https://factpages.sodir.no/pbl/wdss_old/1382_02_WDSS_completion_log.pdf;pdf;168;1382;02.01.2024;05.10.2025
1/2-1;PRESSURE PLOT;1382_Formation_pressure_(Formasjonstrykk);https://factpages.sodir.no/pbl/wellbore_pressure_plot_pdfs/1382_Formation_pressure_(Formasjonstrykk).pdf;pdf;206;1382;02.01.2024;05.10.2025
1/2-1;REPORTED BY LICENSEE;1382_1_2_1_COMPLETION_LOG;https://factpages.sodir.no/pbl/wellbore_documents/1382_1_2_1_COMPLETION_LOG.pdf;pdf;1756;1382;02.01.2024;05.10.2025
1/2-1;REPORTED BY LICENSEE;1382_1_2_1_COMPLETION_REPORT;https://factpages.sodir.no/pbl/wellbore_documents/1382_1_2_1_COMPLETION_REPORT.pdf;pdf;155634;1382;02.01.2024;05.10.2025
1/2-2;WELLBORE PRESS RELEASES;5192-1-2-1;https://factpages.sodir.no/pbl/wellbore_press_releases/5192-1-2-1.pdf;.pdf;146;5192;02.01.2024;05.10.2025
1/2-2;WELLBORE PRESS RELEASES;5192-1-2-2;https://factpages.sodir.no/pbl/wellbore_press_releases/5192-1-2-2.pdf;.pdf;146;5192;02.01.2024;05.10.2025
1/3-1;GEOCHEMICAL INFORMATION;154_1;https://factpages.sodir.no/pbl/geochemical_pdfs/154_1.pdf;pdf;880;154;02.01.2024;05.10.2025
1/3-1;GEOCHEMICAL INFORMATION;154_2;https://factpages.sodir.no/pbl/geochemical_pdfs/154_2.pdf;pdf;1236;154;02.01.2024;05.10.2025
1/3-1;NPD PAPER;154_01_NPD_Paper_No.15_Lithology__Well_1_3_1;https://factpages.sodir.no/pbl/NPD_papers/154_01_NPD_Paper_No.15_Lithology__Well_1_3_1.pdf;pdf;14982;154;02.01.2024;05.10.2025
1/3-1;NPD PAPER;154_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_1;https://factpages.sodir.no/pbl/NPD_papers/154_02_NPD_Paper_No.15_Interpreted_Lithology_log__Well_1_3_1.pdf;pdf;78912;154;02.01.2024;05.10.2025
